property_id,Reviewed_Status,Most_Recent_Status,Source,Occupancy,Net_Yield,IRR,Selling_Reason,Seller_Retained_Broker,Final_Reviewer,leads_id
1, ,Closed,Internal,,3.53,14.48,Downsizing,,Jason Miller,1
2,Reviewed,Cancelled,Auction.com,,6.59,22.92,,,Luis Garcia,2
3,Null,Null,Opendoor,No,5.24,21.17,,,Samantha Pierce,3
4, Closed,Cancelled,M.L.S.,,9.65,14.12,Job Transfer,,Samantha Pierce,4
5, Closed,Cancelled,M.L.S.,No,2.88,17.24,Investor Sale,Yes,Priya Sharma,5
6,Null,Always Kick,Bulk,Yes,9.53,14.41,Downsizing,,Emily Patel,6
7,Null,Null, MLS,Yes,17.03,16.51,Job Transfer,Yes,Emily Patel,7
8, Closed, , MLS,No,6.08,15.27,,Yes,Jason Miller,8
9,Closed,Pend,Bulk,,14.87,26.93,Downsizing,Yes,Priya Sharma,9
10,Null,Available,Internal,No,11.3,19.13,Job Transfer,Yes,Jessica Lin,10
11,New,Available,Opendoor,Yes,9.75,6.85,Downsizing,No,Priya Sharma,11
12,Null,Cancelled, MLS,No,2.93,23.81,Downsizing,No,David Thompson,12
13,Null,Closed,M L S,Yes,14.32,28.91,Investor Sale,Yes,Michael Chen,13
14,Cancelled,Cancelled,Broker,No,18.58,25.92,Investor Sale,No,Samantha Pierce,14
15,Neww,Closed,Opendoor,No,5.04,27.11,Downsizing,No,Jessica Lin,15
16,Accepted Offer,Cancelled,Broker,,8.69,7.9,Downsizing,,Samantha Pierce,16
17,Closed,Available,Broker,No,16.34,26.45,Job Transfer,No,Samantha Pierce,17
18,Null,Always Kick,Opendoor,No,8.63,29.95,,No,Jason Miller,18
19,Null,Available,M L S,,17.59,25.16,Job Transfer,,Jason Miller,19
20,Accepted Offer,Close,Broker,,12.2,14.2,Job Transfer,,Jason Miller,20
21, , , MLS,Yes,13.62,16.8,Downsizing,Yes,Amit Kumar,21
22,Null,Close,M L S,No,18.63,14.47,Downsizing,No,David Thompson,22
23,Offered,Available,Auction.com,No,14.17,23.27,,Yes,Emily Patel,23
24, ,Cancelled,Auction.com,Yes,19.61,7.98,,,Michael Chen,24
25,Accepted Offer,Close,M.L.S.,No,18.21,18.21,,,Jessica Lin,25
26,Cancelled,Pend,Internal,No,11.81,16.39,Job Transfer,Yes,Luis Garcia,26
27,Neww, Close ,M.L.S.,No,5.4,9.87,Investor Sale,Yes,Priya Sharma,27
28,Null,Cancel,Bulk,No,9.76,16.15,,,Michael Chen,28
29,Cancelled,Close,Auction.com,No,2.96,5.1,Investor Sale,,Michael Chen,29
30,Offered, ,Broker,,6.07,21.42,,,Priya Sharma,30
31,Offered,Null,Internal,,6.08,27.66,,No,Emily Patel,31
32,Offered,Closed,M.L.S.,No,14.22,29.89,Downsizing,,Jason Miller,32
33, Closed,Closed,M L S,,19.88,28.34,,,Jessica Lin,33
