property_id,Property_Title,Address,Market,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Rent_Restricted,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
1,"875 Davis Overpass Suite 394, South Kathrynside, CO 35116","875 Davis Overpass Suite 394, South Kathrynside, CO 35116",Chicago,,875 Davis Overpass Suite 394,South Kathrynside,CO,35116,SFR,Far,,2.95,367,Yes,No,Yes,Well,City,1921,1110,5649 sqft,Street,2,3,,Split,Yes,2,38.415818,-81.853842,Manors,9.09
2,"1159 Johnson Pass Apt. 567, South Jamesfurt, MN 60391","1159 Johnson Pass Apt. 567, South Jamesfurt, MN 60391",Dallas,Minimal Flood,1159 Johnson Pass Apt. 567,South Jamesfurt,MN,60391,Single Family Home,,Far,1.75,284,Yes,,,City,Septic,1995,1184,5119,Driveway,2,2,,Colonial,Yes,3,35.329786,-105.265714,Cliff,7.71
3,"9082 Anna Villages Apt. 511, Port Juanshire, VI 22393","9082 Anna Villages Apt. 511, Port Juanshire, VI 22393",Tampa,Flood Zone,9082 Anna Villages Apt. 511,Port Juanshire,VI,22393,Townhouse,,Near,2.19,283,,,,City,City,1952,2492,7606,Driveway,5,2,No,Ranch,,3,36.793896,-77.250254,Square,6.04
4,"86578 Lawson Park Suite 865, South Brianfurt, DC 90366","86578 Lawson Park Suite 865, South Brianfurt, DC 90366", ,Flood Zone,86578 Lawson Park Suite 865,South Brianfurt,DC,90366,Duplex,Near,Far,3.39,1927,No,,,City,City,1937,2586,4822,,1,2,No,Ranch,,3,35.456811,-85.460902,Springs,3.44
5,"309 Roy Brook Apt. 282, Lake Scott, FL 84478","309 Roy Brook Apt. 282, Lake Scott, FL 84478",Tampa,Flood Zone,309 Roy Brook Apt. 282,Lake Scott,FL,84478,Townhouse,Far,Near,2.2,1904,,Yes,,,City,1991,1200,9191,Garage,5,4,Yes,Split,Yes,2,41.066408,-82.300397,Brooks,9.01
6,"262 Smith Underpass Apt. 795, West Craig, MO 04888","262 Smith Underpass Apt. 795, West Craig, MO 04888",Tampa,Flood Zone,262 Smith Underpass Apt. 795,West Craig,MO,04888,Single Family Home,Near,,2.4,315,Yes,,Yes,,City,1970,1368,3538,,2,4,,,,5,39.720854,-114.488908,Mountain,7.25
7,"1150 Horn Street, Lake Nicole, WA 53234","1150 Horn Street, Lake Nicole, WA 53234",Dalas,,1150 Horn Street,Lake Nicole,WA,53234,SFR,Near,Near,2.88,1236,,Yes,No,Well,City,1932,1318,5782,Garage,2,3,Yes,,Yes,5,36.94483,-111.764591,Coves,6.48
8,"357 Huff Passage Apt. 252, Adkinsview, GU 91982","357 Huff Passage Apt. 252, Adkinsview, GU 91982", ,Flood Zone,357 Huff Passage Apt. 252,Adkinsview,GU,91982,Duplex,,Far,1.57,1110,Yes,,Yes,City,,1997,2397,6253,Street,4,4,Yes,Split,,4,33.458427,-110.240632,Mountains,5.41
9,"48819 Morales Glen Suite 806, South Debra, PW 71480","48819 Morales Glen Suite 806, South Debra, PW 71480",Dalas,Flood Zone,48819 Morales Glen Suite 806,South Debra,PW,71480,SFR,,Far,1.61,1081,No,No,No,City,,1948,1035,7209,Garage,5,4,Yes,Split,Yes,2,33.803862,-113.575636,Plain,4.05
10,"53324 Erin Square Suite 256, Jasminshire, NM 55339","53324 Erin Square Suite 256, Jasminshire, NM 55339",Chicago,Minimal Flood,53324 Erin Square Suite 256,Jasminshire,NM,55339,Condo,Far,Near,1.14,967,No,,No,Well,Septic,1920,2452,9947,,6,2,No,Split,Yes,1,38.33672,-116.141318,Mount,6.68
11,"358 Nicholas Mission, Marystad, PW 21247","358 Nicholas Mission, Marystad, PW 21247",Tampa,Flood Zone,358 Nicholas Mission,Marystad,PW,21247,Condo,Near,Near,1.06,511,No,Yes,,Well,Septic,1942,3237,7285,Driveway,4,3,Yes,,,3,39.128145,-79.925964,Shoals,7.1
12,"04891 Allison Stravenue, East Anthonyside, ME 96507","04891 Allison Stravenue, East Anthonyside, ME 96507",Dalas,,04891 Allison Stravenue,East Anthonyside,ME,96507,SFR,Far,,3.26,539,No,,,,,1940,733,6500,Driveway,6,1,,Split,Yes,2,40.106328,-115.792649,Fall,6.24
13,"137 Thomas Path Suite 852, North Michellechester, DC 19731","137 Thomas Path Suite 852, North Michellechester, DC 19731",Tampa,Minimal Flood,137 Thomas Path Suite 852,North Michellechester,DC,19731,SFR,Near,Near,2.2,448,,No,,City,City,1990,2139,4171,Garage,5,1,Yes,Ranch,Yes,1,39.762567,-97.400005,Village,6.06
14,"37215 Zachary Village, Cookeport, LA 91976","37215 Zachary Village, Cookeport, LA 91976",Tampa,Minimal Flood,37215 Zachary Village,Cookeport,LA,91976,Condo,Far,Near,1.65,786,,,Yes,City,,1987,1261,4186,Driveway,1,1,,Ranch,Yes,2,41.246,-114.863184,Trail,8.99
15,"43308 Stephanie Course Apt. 594, Ashleyport, NE 94266","43308 Stephanie Course Apt. 594, Ashleyport, NE 94266", ,,43308 Stephanie Course Apt. 594,Ashleyport,NE,94266,Duplex,,Far,2.63,1791,,,,City,,1920,3441,8599,Street,1,1,,,No,3,39.062598,-114.577169,Roads,6.19
16,"27003 Thompson Forks, East Leahbury, MA 57844","27003 Thompson Forks, East Leahbury, MA 57844",Dalas,,27003 Thompson Forks,East Leahbury,MA,57844,SFR,Near,Near,2.49,1096,Yes,,Yes,,,2021,2588,6983,Driveway,4,1,Yes,,No,2,33.937865,-106.53365,Villages,6.8
17,"646 Swanson Road Suite 536, Barryfort, KS 04611","646 Swanson Road Suite 536, Barryfort, KS 04611",Chicago,Minimal Flood,646 Swanson Road Suite 536,Barryfort,KS,04611,Single Family Home,Near,Near,1.79,355,,,No,Well,Septic,1999,1527,8049,Street,6,4,,Ranch,,1,41.793581,-86.845644,Underpass,3.41
18,"7302 Daryl Highway, West Brian, ME 60038","7302 Daryl Highway, West Brian, ME 60038",Atlanta,Minimal Flood,7302 Daryl Highway,West Brian,ME,60038,Condo,Far,Near,3.04,1531,No,Yes,Yes,Well,City,1956,2908,7716,,6,1,No,Colonial,No,4,37.076477,-83.074309,Summit,7.98
19,"0629 Anderson Coves Suite 889, Alyssaberg, MT 29286","0629 Anderson Coves Suite 889, Alyssaberg, MT 29286",Chicgo,,0629 Anderson Coves Suite 889,Alyssaberg,MT,29286,Single Family Home,,,2.74,1563,Yes,No,,City,,1996,3141,4511,,1,1,No,,No,2,41.706125,-104.232499,Neck,4.15
20,"34505 Jordan Ramp, New Jenniferstad, TN 23319","34505 Jordan Ramp, New Jenniferstad, TN 23319",Chicgo,,34505 Jordan Ramp,New Jenniferstad,TN,23319,SFR,,Near,1.07,1872,No,No,No,Well,City,1944,1341,7935,Street,3,1,Yes,Ranch,,3,33.961786,-101.387703,Shoals,4.06
