rehab_id,property_id,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag
1,1,66402,54602,,No,Yes,,,,,No,Yes,,No
2,1,20995,67666,Yes,Yes,Yes,No,Yes,Yes,,,Yes,No,No
3,1,64582,68022,No,,Yes,Yes,Yes,No,Yes,,,Yes,No
4,2,57763,30244,Yes,No,,,No,No,No,Yes,No,No,Yes
5,3,74265,29580,,Yes,,No,No,No,No,Yes,No,Yes,
6,3,3134,46819,No,,No,Yes,,,No,No,Yes,,No
7,4,9019,62585,,,,No,No,,Yes,Yes,,,
8,4,34292,58712,,,Yes,,Yes,,Yes,No,Yes,,Yes
9,4,33314,68060,,Yes,No,No,,Yes,Yes,No,Yes,Yes,
10,5,77074,60444,Yes,Yes,,No,,Yes,No,,Yes,Yes,
11,5,1951,54708,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No
12,5,2974,7901,No,,,No,No,No,,No,,No,
13,6,9761,92143,No,Yes,,Yes,No,,,,Yes,,No
14,6,56240,42308,No,No,No,Yes,No,No,,Yes,Yes,Yes,
15,6,78898,10597,Yes,No,No,Yes,,Yes,,,Yes,,No
16,7,28084,4988,,,Yes,Yes,Yes,Yes,No,No,,,
17,7,66027,92696,Yes,,Yes,,,,Yes,No,,,No
18,7,87660,18589,,Yes,No,No,No,No,Yes,No,,Yes,
19,8,48739,85873,No,No,,No,Yes,No,Yes,No,Yes,No,Yes
20,8,87969,49852,Yes,Yes,,Yes,No,,No,,,Yes,Yes
21,9,88098,45361,,No,Yes,No,No,No,No,No,,Yes,
22,9,28401,46332,Yes,Yes,,No,Yes,,,,No,Yes,No
23,9,86130,97149,No,Yes,Yes,No,No,Yes,No,Yes,,Yes,Yes
24,10,40549,51230,Yes,,,,No,No,Yes,No,,Yes,No
25,10,29086,52210,Yes,Yes,No,Yes,Yes,No,No,,,No,No
26,10,23550,13969,No,,,No,Yes,Yes,No,Yes,No,,
27,11,93814,38232,,,No,Yes,Yes,No,,,,,No
28,12,82788,24018,Yes,,No,No,No,,,No,Yes,,No
29,12,48788,22340,,,No,,,No,Yes,,Yes,,No
30,12,31860,34940,,,Yes,No,,,No,Yes,,,Yes
31,13,86632,44892,Yes,No,,,,,Yes,,,,Yes
32,13,71789,1494,No,Yes,,,Yes,Yes,Yes,No,,Yes,
33,14,7885,38525,No,Yes,No,,,Yes,Yes,Yes,No,,No
34,14,46374,17926,Yes,No,,,Yes,Yes,,Yes,,,Yes
35,14,51510,15338,,,Yes,No,Yes,,,,,No,
36,15,24024,42390,,,,,No,No,Yes,Yes,,,No
37,15,92615,88106,Yes,Yes,No,No,Yes,Yes,,,,,No
38,16,6561,80439,Yes,,Yes,Yes,Yes,No,Yes,Yes,,No,No
39,17,50054,11723,Yes,,No,,Yes,Yes,No,,,No,No
40,18,99822,23748,Yes,Yes,Yes,No,Yes,,No,No,No,,No
41,19,24667,77770,,,,No,No,,No,,,No,
42,20,4491,76330,,Yes,No,Yes,No,Yes,,No,Yes,,No
43,20,90699,75549,Yes,Yes,No,No,No,No,No,No,No,,No
44,20,65696,18309,No,,Yes,No,Yes,Yes,,,No,No,
45,21,94442,69196,Yes,,No,Yes,Yes,Yes,Yes,Yes,,Yes,
46,21,39359,46562,No,No,,,,,Yes,No,No,Yes,
47,21,64789,63457,No,,,Yes,Yes,Yes,,No,Yes,,
48,22,45742,4185,,,,,Yes,Yes,,Yes,,,
49,22,39210,39003,Yes,,,No,,,,No,,,
50,23,8448,67940,Yes,,No,Yes,Yes,No,No,,Yes,Yes,
51,24,93184,66387,Yes,No,Yes,Yes,No,,No,No,Yes,Yes,Yes
52,24,31514,83062,,No,Yes,Yes,Yes,Yes,No,,No,No,
53,25,37524,29001,,Yes,,Yes,No,Yes,No,Yes,No,No,Yes
54,25,30239,956,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes
55,25,38077,57301,,No,,,,Yes,No,,,No,No
56,26,6698,58994,,No,,Yes,Yes,No,No,Yes,Yes,No,No
57,27,44936,99186,,Yes,,Yes,No,,No,No,,,Yes
58,27,51596,51912,,,No,Yes,No,,Yes,No,Yes,,No
59,27,38703,99520,,No,,No,Yes,,Yes,Yes,No,No,
60,28,82192,51009,,,Yes,,Yes,No,,Yes,Yes,No,
61,29,90703,14376,No,,,No,No,No,,No,No,No,
