taxes_id,property_id,Tax,Tax_Flag
1,1,6389,
2,2,9321,
3,3,9963,
4,4,2173,
5,5,5985,
6,6,8242,
7,7,2124,
8,8,2964,
9,9,5568,
10,10,8007,
11,11,1864,
12,12,8993,
13,13,8219,
14,14,3415,
15,15,1512,
16,16,7812,
17,17,3831,
18,18,4527,
19,19,3041,
20,20,8194,
21,21,5779,
22,22,6668,
23,23,9956,
24,24,5427,
25,25,2306,
26,26,4865,
27,27,5719,
28,28,8948,
29,29,3233,
30,30,6417,
31,31,8850,
32,32,7153,
33,33,2123,
34,34,3047,
35,35,9186,
36,36,7122,
37,37,2195,
38,38,3450,
39,39,7381,
40,40,9639,
41,41,9762,
42,42,5297,
43,43,5583,
44,44,7406,
45,45,5173,
46,46,1896,
47,47,1718,
48,48,6182,
49,49,9729,
50,50,4928,
51,51,5081,
52,52,8170,
53,53,4536,
54,54,8212,
55,55,6680,
56,56,7313,
57,57,7551,
58,58,9264,
59,59,6406,
60,60,6799,
61,61,8933,
62,62,3048,
63,63,7882,
64,64,6717,
65,65,1694,
66,66,2901,
67,67,9990,
68,68,3863,
69,69,9846,
70,70,3409,
71,71,6297,
72,72,8906,
73,73,7959,
74,74,2591,
75,75,8274,
76,76,9199,
77,77,8929,
78,78,1885,
79,79,7814,
80,80,9351,
81,81,9722,
82,82,3090,
83,83,6266,
84,84,5529,
85,85,8782,
86,86,3448,
87,87,3724,
88,88,8098,
89,89,9708,
90,90,6345,
91,91,9983,
92,92,7087,
93,93,2109,
94,94,2901,
95,95,3467,
96,96,6952,
97,97,8727,
98,98,8263,
99,99,8682,
100,100,9706,
101,101,2717,
102,102,5195,
103,103,8917,
104,104,2859,
105,105,1871,
106,106,7574,
107,107,9811,
108,108,4981,
109,109,1958,
110,110,6573,
111,111,8115,
112,112,6703,
113,113,7870,
114,114,2511,
115,115,4860,
116,116,5509,
117,117,9762,
118,118,7772,
119,119,8075,
120,120,5781,
121,121,2624,
122,122,2042,
123,123,2194,
124,124,3892,
125,125,4961,
126,126,1870,
127,127,2602,
128,128,5198,
129,129,5187,
130,130,3577,
131,131,3936,
132,132,6078,
133,133,2484,
134,134,7071,
135,135,3502,
136,136,3565,
137,137,5771,
138,138,8922,
139,139,6593,
140,140,8760,
141,141,8225,
142,142,3390,
143,143,4034,
144,144,7304,
145,145,5555,
146,146,3512,
147,147,9728,
148,148,4998,
149,149,4306,
150,150,7452,
151,151,5118,
152,152,9519,
153,153,3055,
154,154,4918,
155,155,9471,
156,156,4753,
157,157,2192,
158,158,6200,
159,159,2075,
160,160,7421,
161,161,4788,
162,162,3985,
163,163,9936,
164,164,3066,
165,165,6606,
166,166,6893,
167,167,4760,
168,168,7385,
169,169,1541,
170,170,5548,
171,171,2668,
172,172,5931,
173,173,4292,
174,174,6769,
175,175,3491,
176,176,2945,
177,177,4372,
178,178,8497,
179,179,6056,
180,180,6565,
181,181,2782,
182,182,8692,
183,183,6061,
184,184,4062,
185,185,6450,
186,186,5318,
187,187,5386,
188,188,6081,
189,189,6456,
190,190,4162,
191,191,9723,
192,192,7314,
193,193,6105,
194,194,7820,
195,195,1755,
196,196,2160,
197,197,6474,
198,198,6011,
199,199,3129,
200,200,1854,
201,201,5918,
202,202,2525,
203,203,2057,
204,204,4298,
205,205,4903,
206,206,9282,
207,207,5152,
208,208,7696,
209,209,9850,
210,210,1859,
211,211,7009,
212,212,1843,
213,213,3236,
214,214,2392,
215,215,7617,
216,216,3475,
217,217,8399,
218,218,8511,
219,219,8048,
220,220,9446,
221,221,1824,
222,222,4085,
223,223,9145,
224,224,7832,
225,225,9445,
226,226,3014,
227,227,1967,
228,228,3712,
229,229,6953,
230,230,2008,
231,231,4847,
232,232,9125,
233,233,4966,
234,234,6523,
235,235,8172,
236,236,8657,
237,237,3734,
238,238,4858,
239,239,1951,
240,240,8128,
241,241,9325,
242,242,2251,
243,243,6192,
244,244,9431,
245,245,2285,
246,246,9873,
247,247,8092,
248,248,3937,
249,249,4211,
250,250,4626,
251,251,9746,
252,252,8683,
253,253,8691,
254,254,7964,
255,255,3765,
256,256,1600,
257,257,2765,
258,258,9546,
259,259,5598,
260,260,3991,
261,261,5609,
262,262,1865,
263,263,7569,
264,264,2495,
265,265,7255,
266,266,4169,
267,267,9587,
268,268,7763,
269,269,3580,
270,270,4208,
271,271,9887,
272,272,4651,
273,273,3974,
274,274,2153,
275,275,5842,
276,276,5978,
277,277,9463,
278,278,3393,
279,279,3033,
280,280,6427,
281,281,7351,
282,282,1767,
283,283,5609,
284,284,8486,
285,285,4254,
286,286,1660,
287,287,2318,
288,288,3755,
289,289,8969,
290,290,7486,
291,291,6832,
292,292,2402,
293,293,7803,
294,294,3146,
295,295,8140,
296,296,5939,
297,297,9458,
298,298,4430,
299,299,3337,
300,300,2625,
301,301,5364,
302,302,4220,
303,303,3486,
304,304,5373,
305,305,4140,
306,306,5351,
307,307,6602,
308,308,7282,
309,309,2597,
310,310,5791,
311,311,8759,
312,312,2256,
313,313,8653,
314,314,1971,
315,315,9112,
316,316,3932,
317,317,3163,
318,318,4328,
319,319,5352,
320,320,9942,
321,321,5335,
322,322,4532,
323,323,8123,
324,324,2142,
325,325,4256,
326,326,6021,
327,327,6480,
328,328,8438,
329,329,3169,
330,330,4871,
331,331,3142,
332,332,2562,
333,333,6302,
334,334,8056,
335,335,6137,
336,336,2361,
337,337,7491,
338,338,5415,
339,339,6666,
340,340,8764,
341,341,2101,
342,342,7231,
343,343,8687,
344,344,9867,
345,345,4414,
346,346,8926,
347,347,8232,
348,348,2383,
349,349,6591,
