valuation_id,property_id,List_Price,Previous_Rent,ARV,Rent_Zestimate,Low_FMR,Redfin_Value,Zestimate,Expected_Rent,High_FMR
1,1,93528,1699.0,130693.0,2047.0,1251.0,379528.0,,,
2,1,281162,,,,1306.0,515319.0,522504.0,2671.0,1859.0
3,1,175119,2188.0,,,1612.0,,,1386.0,
4,1,168323,,,,,,192171.0,3138.0,5157.0
5,2,434027,2955.0,187554.0,3324.0,,,,,
6,2,298991,,518260.0,3082.0,1728.0,458495.0,391125.0,,
7,2,247549,2412.0,,,,,,,
8,2,225463,,,2004.0,,360480.0,,,
9,3,353402,3478.0,,,,,,,
10,3,178184,,,3964.0,,,174118.0,2455.0,
11,3,316094,1855.0,516300.0,,,403597.0,,1577.0,
12,4,149122,3012.0,437426.0,,,291438.0,230805.0,,
13,4,375636,,,3120.0,767.0,,,,3818.0
14,4,278888,3060.0,144913.0,3796.0,,,441558.0,3282.0,4934.0
15,4,268968,,,946.0,1825.0,,388111.0,,
16,5,362688,2315.0,,909.0,,,,,4101.0
17,6,310609,3414.0,,,1932.0,,,985.0,2584.0
18,7,216345,,,3683.0,1182.0,,,,3108.0
19,8,464598,,167610.0,,1762.0,,,,4826.0
20,9,310608,,,1635.0,,542460.0,,,2575.0
21,9,264059,1427.0,,,1145.0,249455.0,,,3217.0
22,9,409356,,317540.0,,,119766.0,,,
23,9,360356,1508.0,155968.0,,,,260767.0,,2242.0
24,11,305613,3360.0,580026.0,1665.0,787.0,,340702.0,,
25,11,249465,3052.0,,1668.0,,,324721.0,,
26,12,155602,2375.0,567821.0,,1081.0,,100242.0,1675.0,5351.0
27,12,273961,1792.0,224843.0,,1913.0,,,,3380.0
28,12,232238,,230427.0,,,,,,2127.0
29,14,375293,,,2414.0,,92448.0,,,
30,14,486767,,,3614.0,,,,,
31,15,188029,2675.0,,,,,296300.0,,5440.0
32,15,195895,,201257.0,,1224.0,,524613.0,2953.0,1354.0
33,15,372005,,,,,,346355.0,2118.0,1890.0
34,16,217730,,,2717.0,,,,3332.0,2763.0
35,16,92968,,,3280.0,,561163.0,372215.0,,2715.0
36,16,409577,,180735.0,2688.0,,,445647.0,1272.0,
37,16,255175,1970.0,,,704.0,,,1803.0,1569.0
38,16,221940,2453.0,,2559.0,,,,,
39,17,111687,,535638.0,834.0,,,301875.0,2807.0,
40,20,370298,,243237.0,1329.0,,,,2982.0,
41,20,441332,,,,,122739.0,,2434.0,2136.0
42,21,143887,,,3412.0,,372610.0,,3441.0,
43,22,425443,,343283.0,,,,,,3064.0
44,23,359799,,506296.0,842.0,,,,,
45,24,344694,,,,1572.0,408143.0,,,1377.0
46,24,273043,,230001.0,,,538491.0,,2445.0,
47,24,443830,,,3072.0,,,,,
48,25,257191,,,,1633.0,365344.0,433733.0,995.0,3000.0
49,25,486937,3099.0,540338.0,3729.0,,,320716.0,2097.0,
50,25,311934,2955.0,341343.0,,,,320459.0,1969.0,
51,25,458073,,,3180.0,,,,2620.0,
52,26,95411,,,2672.0,,,,1408.0,
53,26,207414,,114572.0,,,212729.0,,1897.0,2144.0
54,26,126587,,,,,,,,3340.0
55,26,109394,1125.0,,,,,100071.0,,
56,26,95084,,,3664.0,,,,,2192.0
57,27,164090,3143.0,486949.0,1767.0,1032.0,325928.0,,1043.0,
58,28,144087,,395391.0,2215.0,1039.0,129236.0,,2507.0,2045.0
59,29,115995,,,,999.0,,,1681.0,2829.0
60,29,279250,,,3395.0,,,,1683.0,
61,29,302561,1339.0,380995.0,1350.0,1082.0,434667.0,328408.0,1353.0,4017.0
62,29,468261,,,,,591643.0,284100.0,,5182.0
63,29,243599,2045.0,229492.0,3368.0,,,,1884.0,
64,30,433075,,,2764.0,1931.0,147731.0,,,3836.0
65,31,157735,2572.0,,,1388.0,182370.0,167058.0,3484.0,
66,31,349342,,444553.0,,,,290281.0,,
67,31,368233,,,,1529.0,130458.0,,1339.0,
68,32,349034,,,,1912.0,,,,
69,32,103422,,283535.0,,757.0,123970.0,90211.0,1156.0,
70,32,241628,1325.0,,,,203661.0,,,
71,32,427848,,109738.0,,1725.0,180727.0,,,
72,32,385282,,,3567.0,,,,,
73,33,369341,,,,,,,,
74,33,106978,,430638.0,,,254952.0,,,3929.0
75,33,281797,3001.0,,,,274605.0,,1212.0,4426.0
76,33,419195,,231280.0,2193.0,,445853.0,,,
77,36,234785,,,,,,140143.0,1881.0,
78,36,198826,,116332.0,948.0,1207.0,,,,5411.0
79,36,257011,,,,1745.0,,,3056.0,
80,37,323845,,303358.0,2954.0,863.0,,273326.0,,
81,38,136810,,,2192.0,795.0,525283.0,,,2932.0
82,38,470955,,,3711.0,,,,,
83,39,205429,,,2107.0,1913.0,449184.0,,,1723.0
84,39,248273,,,3753.0,,363072.0,311882.0,,
85,39,309936,,,,,,96892.0,,
86,39,355043,,,,,,,,4267.0
87,39,497369,,568090.0,807.0,1759.0,379549.0,,1749.0,2075.0
88,40,404915,1144.0,,2239.0,,,149174.0,,
89,40,182101,,399801.0,,1753.0,247489.0,430660.0,2945.0,1547.0
90,41,423924,,250979.0,,,,348439.0,2863.0,4681.0
91,41,404353,,505697.0,1959.0,1437.0,525482.0,,,1719.0
92,41,289630,3020.0,372360.0,2351.0,,,,,
93,41,119304,,,,980.0,196697.0,,3210.0,4961.0
94,41,355520,,93105.0,937.0,1444.0,,,3448.0,
95,42,252927,,259148.0,,,496597.0,387864.0,3252.0,
96,42,355661,,244144.0,,,406359.0,,2491.0,
97,42,176764,,,3658.0,,,,,
98,42,395210,1565.0,489549.0,,1312.0,,,,5226.0
99,42,321844,3092.0,136644.0,3339.0,1915.0,,217990.0,,
100,45,482267,,535669.0,,,,270116.0,2354.0,
101,45,419487,,,1535.0,1585.0,,133119.0,1255.0,5371.0
102,45,478833,2136.0,,,1450.0,555328.0,,3453.0,
103,46,449072,,,3484.0,1646.0,399823.0,209558.0,,5067.0
104,46,223209,,,3289.0,,,,903.0,
105,47,169618,2189.0,,,974.0,,383227.0,,
106,48,245136,,301943.0,,991.0,,,,3712.0
107,48,285612,2431.0,,,,,,1738.0,2701.0
108,49,464725,2089.0,,2004.0,,,,1228.0,
109,50,488500,2140.0,,,,,381001.0,2423.0,3076.0
110,50,319238,,,,,499801.0,,1585.0,
111,50,342190,,,3601.0,1494.0,435698.0,,,
112,50,202144,,,1435.0,,,,2128.0,
113,50,454144,,466555.0,3241.0,1239.0,241578.0,,,3167.0
114,51,166723,3414.0,298208.0,,,298046.0,523295.0,3045.0,
115,51,340785,,,,,484962.0,,1141.0,
116,51,192961,1506.0,,1286.0,,250472.0,,,
117,51,265813,,457773.0,1603.0,,,306493.0,3374.0,
118,51,306599,1997.0,590796.0,1431.0,1124.0,,130386.0,,
119,52,378485,1533.0,,,,121417.0,,,2482.0
120,52,143962,,,3314.0,,,,,4609.0
121,52,301240,,,,,,,2541.0,4677.0
122,52,223735,,,,1410.0,412987.0,,,3902.0
123,52,212285,,554315.0,,,,,,
124,53,165515,2759.0,224326.0,2658.0,1268.0,,,,4868.0
125,53,145638,,301710.0,,,,,,3313.0
126,54,260475,,,2895.0,1002.0,524558.0,,,
127,54,203947,2255.0,,3174.0,1211.0,355008.0,214557.0,2631.0,5024.0
128,55,446954,1199.0,,1284.0,1433.0,117567.0,,3030.0,
129,55,149575,,395856.0,3710.0,,,,965.0,
130,55,167493,,442960.0,,,,316581.0,,
131,56,415966,979.0,382821.0,3500.0,,,224122.0,,
132,56,316219,,164548.0,,,516888.0,,,
133,56,462912,,383034.0,,,,,2553.0,2262.0
134,56,258308,905.0,271133.0,1325.0,,,534558.0,,4631.0
135,57,331099,2533.0,,,,182540.0,525240.0,,
136,57,249740,2384.0,335683.0,1414.0,,248943.0,,,
137,57,442069,2103.0,195596.0,,,320969.0,102336.0,,
138,57,176832,1119.0,492759.0,,,,,,1723.0
139,58,339214,2649.0,,,,400657.0,192787.0,,
140,58,116337,,472917.0,,1272.0,,434503.0,,
141,58,275612,,,3793.0,,106701.0,,2902.0,
142,58,387113,,,,,180845.0,,,1475.0
143,58,317841,,200519.0,,1308.0,93755.0,,2699.0,
144,60,138643,,402386.0,1684.0,,,,,
