Property_Title,Address,Reviewed_Status,Most_Recent_Status,Source,Market,Occupancy,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Net_Yield,IRR,Rent_Restricted,Neighborhood_Rating,Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,HOA,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag,Latitude,Longitude,Subdivision,Taxes,Redfin_Value,Selling_Reason,Seller_Retained_Broker,HOA_Flag,Final_Reviewer,School_Average
"882 James Haven Apt. 909 East Shannon, LA 80727","882 James Haven Apt. 909 East Shannon, LA 80727",Cancelled,Pending,MLS,Dalas,No,Minimal Flood,882 James Haven Apt. 909,East Shannon,LA,80727,SFR,,Far,2.73,334,,Yes,,,City,2013,3333,7506,Driveway,6,4,No,Split,3.53,18.08,,4,2178,289010,332344,371136,2286,2645,1765,1381,149,30865,94126,No,No,,Yes,No,,No,No,No,Yes,No,39.483769,-103.75699,Trail,6066,391201,Investor Sale,,Yes,Priya Sharma,3.26
"15521 Matthew Parkways South Lisahaven, AL 42154","15521 Matthew Parkways South Lisahaven, AL 42154",Accepted Offer,Closed,M L S,Tampa,Yes,Flood Zone,15521 Matthew Parkways,South Lisahaven,AL,42154,Condo,Far,,2.05,1553,Yes,Yes,No,Well,,1988,2792,9882,,3,2,Yes,Colonial,8.59,19.09,No,5,1903,269833,224572,269729,2718,1801,1910,1175,30,84266,71319,,Yes,,,,Yes,,,,No,,41.766517,-106.712636,Heights,6892,426028,,Yes,Yes,Jessica Lin,3.01
"913 John Brook Johnsontown, MT 09915","913 John Brook Johnsontown, MT 09915",New,Pending,Internal,Atlanta,No,,913 John Brook,Johnsontown,MT,09915,Duplex,,Far,2.3,1861,No,,No,,,2009,1150,4797,Garage,2,2,No,Ranch,9.28,15.35,Yes,3,2129,468878,505905,434187,2264,1602,967,1916,5,61281,45626,No,No,No,No,No,,No,No,No,Yes,,39.58368,-113.16085,Run,8196,269453,Job Transfer,Yes,Yes,Michael Chen,9.94
"912 Mackenzie Motorway Apt. 579 Angelaberg, ID 28760","912 Mackenzie Motorway Apt. 579 Angelaberg, ID 28760", , ,Auction.com, ,Yes,,912 Mackenzie Motorway Apt. 579,Angelaberg,ID,28760,SFR,Far,Far,1.82,728,Yes,No,No,,Septic,2001,2467,9227,,6,3,,Ranch,3.33,12.78,Yes,5,3387,454986,381967,504005,2571,3290,1941,3069,42,5559,22563,No,No,Yes,No,No,Yes,,No,,Yes,Yes,41.280104,-88.199763,Avenue,9931,344350,Investor Sale,Yes,Yes,Priya Sharma,7.28
"544 Eaton Mews New Ernestport, KY 39769","544 Eaton Mews New Ernestport, KY 39769",Reviewed,Pending,MLS,Florida,Yes,,544 Eaton Mews,New Ernestport,KY,39769,Duplex,Far,Near,2.71,1242,No,No,Yes,Well,,1998,3432,9205,Garage,2,3,,Ranch,8.7,9.98,No,1,1895,249437,277015,398692,1616,1578,1242,1609,158,39960,89733,,No,,,No,No,,,No,Yes,,35.300247,-88.372005,Wall,8392,433171,,No,No,Emily Patel,3.8
"232 Walker Parks Suite 117 Jacksonmouth, UT 85930","232 Walker Parks Suite 117 Jacksonmouth, UT 85930",Accepted Offer,Null,Opendoor,Dalas,Yes,,232 Walker Parks Suite 117,Jacksonmouth,UT,85930,Townhouse,,,1.55,338,Yes,No,Yes,,City,1986,3132,9054,Street,5,3,,Split,5.05,12.55,Yes,5,3466,455451,423275,369816,2988,1831,1132,2978,309,92824,34064,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,No,41.567751,-73.961414,Ville,2927,405485,Investor Sale,No,,Samantha Pierce,9.81
"530 Dean Cliff Port Karenton, AK 43204","530 Dean Cliff Port Karenton, AK 43204",Closed,Always Kick,MLS,Atlanta,No,Flood Zone,530 Dean Cliff,Port Karenton,AK,43204,Townhouse,Near,,2.87,42,,,,,Septic,2020,2112,9970,Street,4,1,Yes,Colonial,5.38,10.02,Yes,1,1784,434064,311223,187311,1313,3794,869,1161,316,4711,22270,Yes,No,,Yes,No,No,Yes,Yes,,,Yes,34.37745,-93.99409,Plaza,7345,227919,Investor Sale,No,,David Thompson,9.68
"8099 Parrish Roads Suite 471 Andersonmouth, ND 01167","8099 Parrish Roads Suite 471 Andersonmouth, ND 01167", ,Cancelled,M L S,Atlanta,,Minimal Flood,8099 Parrish Roads Suite 471,Andersonmouth,ND,01167,Townhouse,,Far,2.8,1294,No,,No,City,City,1979,1887,8476,Street,5,2,Yes,Split,11.13,12.33,,4,913,273462,207310,386171,2524,1117,1371,1405,115,95641,83341,No,No,Yes,No,,,Yes,No,No,No,No,36.258761,-116.758612,Fork,1587,202847,,Yes,Yes,Jessica Lin,6.28
"19028 Darin Tunnel Suite 694 Joycemouth, CO 51642","19028 Darin Tunnel Suite 694 Joycemouth, CO 51642",New, ,Broker, ,Yes,,19028 Darin Tunnel Suite 694,Joycemouth,CO,51642,Condo,Far,Near,1.84,376,Yes,Yes,,City,,1957,2796,2240,Driveway,1,3,Yes,Ranch,8.46,15.46,Yes,3,3084,131100,510986,104521,3306,1735,1017,3440,17,14602,21300,No,No,No,,No,No,Yes,,,,No,34.712142,-81.468674,Crossroad,1897,518326,Downsizing,Yes,Yes,Jessica Lin,6.23
"334 Ryan Island Mckaymouth, AZ 68380","334 Ryan Island Mckaymouth, AZ 68380",Null, ,M L S,Florida,No,Flood Zone,334 Ryan Island,Mckaymouth,AZ,68380,Single Family Home,,Near,2.94,911,No,,No,,,1990,3192,4409,Driveway,5,4,Yes,Split,5.14,7.97,,3,2776,335253,100037,459465,1531,1623,1696,1601,476,55573,99293,Yes,Yes,No,No,Yes,Yes,,Yes,No,Yes,No,35.253351,-113.253814,Bridge,4880,251742,Downsizing,No,Yes,Amit Kumar,8.19
"64767 Alan Rapids Lake Jamesview, WY 87695","64767 Alan Rapids Lake Jamesview, WY 87695",New,Available,Broker,Dallas,No,Minimal Flood,64767 Alan Rapids,Lake Jamesview,WY,87695,Condo,,Far,1.57,1222,No,,,,,1951,2588,6775,Driveway,1,3,No,,10.78,19.79,,1,1488,422384,94243,156489,3175,3680,1385,1690,279,34358,18804,Yes,No,No,No,,No,Yes,No,Yes,No,No,34.779022,-103.606583,Village,8312,282525,,,No,Samantha Pierce,3.2
"45920 Harris Valleys Mcleanfurt, NJ 23953","45920 Harris Valleys Mcleanfurt, NJ 23953",Offered,Available,M L S,Tampa,Yes,Flood Zone,45920 Harris Valleys,Mcleanfurt,NJ,23953,Condo,Far,Near,2.05,248,,Yes,,,,1986,3250,1729,Street,2,2,No,Split,6.96,16.5,,3,1977,200581,546714,524492,3479,1313,1197,2020,149,16113,65024,,,,Yes,,No,No,No,,,Yes,39.987134,-99.958865,Haven,9994,359606,,No,No,Samantha Pierce,8.61
"9254 David Mission North Kenneth, DC 57782","9254 David Mission North Kenneth, DC 57782",Null,Cancelled,Internal,Tampa,Yes,Minimal Flood,9254 David Mission,North Kenneth,DC,57782,SFR,Far,Near,1.26,1105,,Yes,,City,,1972,3035,2220,,1,1,,Split,6.99,18.24,No,1,1016,160727,200354,550046,935,2733,1418,2165,32,69110,35810,,No,,,,,No,No,Yes,Yes,Yes,41.235428,-112.151724,Ways,2691,515096,Downsizing,No,,Emily Patel,5.77
"7374 Jones Green Apt. 848 Curtisborough, FL 10912","7374 Jones Green Apt. 848 Curtisborough, FL 10912",Reviewed,Available,M L S,Dallas,,Flood Zone,7374 Jones Green Apt. 848,Curtisborough,FL,10912,Townhouse,Far,Near,2.54,170,No,No,Yes,Well,City,2024,2875,9140,,5,1,No,Ranch,7.54,13.31,,2,1607,416059,303497,571905,2674,2356,927,2115,467,46200,99596,,Yes,No,No,No,,Yes,Yes,,No,No,41.410232,-80.19982,Park,6145,412712,Job Transfer,No,,David Thompson,5.95
"60076 Edwards Crossroad West Matthew, WY 64706","60076 Edwards Crossroad West Matthew, WY 64706",Closed,Cancelled,MLS,Florida,No,Minimal Flood,60076 Edwards Crossroad,West Matthew,WY,64706,Duplex,Near,Far,1.51,1025,,Yes,,Well,Septic,2023,2584,6061,Garage,2,2,No,Colonial,11.95,15.32,,2,1661,245189,248311,100053,1044,3526,1986,1792,433,83976,21067,No,,Yes,No,Yes,Yes,No,,No,,No,40.552417,-75.195436,Springs,6164,419646,Investor Sale,,,Sophia Williams,9.77
